Warehouse,Cluster,Cost
1,1,0.2460335431308653
2,1,0.247602750614071
3,1,0.24110020666915408
4,1,0.243900510614071
5,1,0.24552726877854164
6,1,0.2483847066691541
7,1,0.24953308666915405
8,1,0.2569379917987069
9,1,0.2547783517987069
10,1,0.25666981061407096
11,1,0.25041470975806357
12,1,0.2482641999625809
13,1,0.200244930614071
14,1,0.2330347497580636
15,1,0.2515893599625809
16,1,0.25600902313086527
17,1,0.24141918756556674
18,1,0.20413416877854162
19,1,0.22850177996258095
20,1,0.250636530614071
21,1,0.2997239487785417
22,1,0.22462866666915407
23,1,0.28628124666915405
24,1,0.30563978975806366
25,1,0.3238461849824988
26,1,0.3238864066691541
27,1,0.3311189599625809
28,1,0.27101996756556673
29,1,0.28851438877854163
30,1,0.3044601075655668
31,1,0.3087517866691541
32,1,0.3295940266691541
33,1,0.35153269996258085
34,1,0.13635713996258095
35,1,0.13334102666915407
36,1,0.13561766313086526
37,1,0.1394332097580636
38,1,0.14486956756556676
39,1,0.1244305333912584
40,1,0.15631908756556678
41,1,0.16105640666915408
42,1,0.18496670666915405
43,1,0.19758516371364815
44,1,0.16763972748213393
45,1,0.12674209737397862
46,1,0.12305699737397863
47,1,0.0983645636067702
48,1,0.0785358628592316
49,1,0.14570524360677026
50,1,0.16096631460542643
51,1,0.15127872804049428
52,1,0.17193775185949012
53,1,0.15905292244424465
54,1,0.09037406828943789
55,1,0.11741793737397861
56,1,0.1329981973739786
57,1,0.1493838756468169
58,1,0.1471107236067702
59,1,0.07286981817825589
60,1,0.07230958560781707
61,1,0.07288209519646018
62,1,0.07090092460583423
63,1,0.0750109936446443
64,1,0.07732206345686476
65,1,0.07594031150912876
66,1,0.07506993150532687
67,1,0.07339021150532687
68,1,0.07088793323248858
69,1,0.06775660025198377
70,1,0.0680459340322157
71,1,0.07117141634272652
72,1,0.06701958025198378
73,1,0.08803675121317373
74,1,0.07938147634272652
75,1,0.07823267121317372
76,1,0.07864202531687732
77,1,0.08048393547061497
78,1,0.0762237602519838
79,1,0.08677917006420426
80,1,0.08294264025198378
81,1,0.08859115547061498
82,1,0.08160402574763131
83,1,0.07791779006420425
84,1,0.08063079202345046
85,1,0.05918071595984006
86,1,0.05982123597076043
87,1,0.06141673884621077
88,1,0.06376507414356962
89,1,0.10733003006420426
90,1,0.0939994653168773
91,1,0.09183830025198378
92,1,0.09716265408839486
93,1,0.09348579202345045
94,1,0.10045972025198378
95,1,0.09137757202345043
96,1,0.09980840025198379
97,1,0.11861098025198377
98,1,0.11297192025198377
99,1,0.1056414981782559
100,1,0.12312975408839487
